Id,Bed,Bath,Sqft,Price,Lot,Ybuilt,Ptax,Wscore,Zpid
5dbf9d7dd923b05b4187eb40,4,1.5,2066,760931,6969,1901,14418,89,33054261
5dbf9d7dd923b05b4187eb40,4,3,2451,746809,42688,1967,20586,0,33055537
5dbf9d7dd923b05b4187eb40,3,2.5,2690,642337,39204,1967,19548,8,33055357
5dbf9d7dd923b05b4187eb40,4,3,2801,698347,12196,1931,10071,69,33057478
5dbf9d7dd923b05b4187eb40,4,5,2576,978811,13503,2015,28644,28,33054418
5dbf9d7dd923b05b4187eb40,4,3,2236,745568,12196,1922,16451,76,33053628
5dbf9d7dd923b05b4187eb40,4,2,2000,505750,15999,1956,14805,22,33053171
5dbf9d7dd923b05b4187eb40,3,1,1066,414748,15246,1954,11031,34,33053187
5dbf9d7dd923b05b4187eb40,3,1.5,1450,495633,15681,1954,12580,28,33053189
5dbf9d7dd923b05b4187eb40,3,2,1400,536150,29185,1955,14999,15,33053220
5dbf9d7dd923b05b4187eb40,3,2,1800,567574,8276,1964,13160,25,33053292
5dbf9d7dd923b05b4187eb40,3,2,2200,848331,21780,1926,19257,31,33053308
5dbf9d7dd923b05b4187eb40,4,3,2484,771561,24968,1960,19354,41,33053329
5dbf9d7dd923b05b4187eb40,5,3.5,3822,1115601,13068,2016,31160,32,33053385
5dbf9d7dd923b05b4187eb40,3,2,1530,492761,7670,1961,13934,22,33053419
5dbf9d7dd923b05b4187eb40,3,1,1246,518285,6534,1955,10741,23,33053436
5dbf9d7dd923b05b4187eb40,4,2,1729,598388,14810,1959,12096,13,33053445
5dbf9d7dd923b05b4187eb40,4,2,2016,713886,7705,1960,14418,10,33053450
5dbf9d7dd923b05b4187eb40,5,2,1986,538178,7544,1969,13451,52,33053498
5dbf9d7dd923b05b4187eb40,3,2,1983,702220,11438,1923,11709,40,33053586
5dbf9d7dd923b05b4187eb40,3,4,3338,975343,9922,1931,24676,56,33053672
5dbf9d7dd923b05b4187eb40,5,2,2522,684332,7405,1903,13354,51,33053794
5dbf9d7dd923b05b4187eb40,4,2,2480,703998,13791,1900,19354,42,33053799
5dbf9d7dd923b05b4187eb40,4,3,3200,682541,39204,1920,20031,29,33053857
