CBSA,FIPS,AvgPrice,AvgPrIncr,Metro,State,SaleInc,EmpInc,ConstInc
48620,20191,137750.0000,0.0200,Wichita,KS,9.9000,1.7000,2.3000
45940,34021,136300.0000,0.1363,Trenton,NJ,7.3000,7.2000,20.8000
44180,29225,202550.0000,0.0190,Springfield,MO,8.1000,7.8000,9.3000
44100,17129,149025.0000,0.0756,Springfield,IL,7.0000,1.7000,3.1000
44060,53065,330050.0000,0.1101,Spokane-SpokaneValley,WA,9.3000,2.0000,2.9000
41620,49035,425050.0000,0.0368,SaltLakeCity,UT,8.0000,3.9000,6.0000
40060,51087,368995.0000,-0.0776,Richmond,VA,7.0000,2.2000,3.2000
38860,23031,362050.0000,0.0343,Portland-SouthPortland,ME,7.1000,0.9000,1.1000
38340,25003,377500.0000,-0.0540,Pittsfield,MA,9.0000,0.2000,0.2000
37980,42101,245000.0000,0.1185,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,7.7000,2.2000,4.2000
37860,12113,299950.0000,0.0654,Pensacola-FerryPass-Brent,FL,8.3000,1.0000,1.1000
36100,12083,199750.0000,-0.0010,Ocala,FL,9.2000,3.2000,3.4000
33340,55133,394950.0000,0.0657,Milwaukee-Waukesha-WestAllis,WI,8.3000,4.9000,8.3000
31540,55025,346500.0000,0.0498,Madison,WI,7.5000,2.0000,5.7000
31140,18043,237049.5000,0.1885,Louisville/JeffersonCounty,KY-IN,7.7000,3.7000,5.9000
29460,12105,225050.0000,-0.0020,Lakeland-WinterHaven,FL,7.7000,1.9000,1.9000
28940,47145,252475.0000,0.0158,Knoxville,TN,8.7000,1.7000,2.3000
28740,36111,297050.0000,0.0421,Kingston,NY,9.1000,1.0000,1.5000
28420,53021,320200.0000,-0.0553,Kennewick-Richland,WA,9.8000,0.1000,0.1000
26620,1089,267500.0000,0.0450,Huntsville,AL,7.3000,1.0000,1.3000
25180,54003,225000.0000,0.1247,Hagerstown-Martinsburg,MD-WV,7.7000,1.9000,2.2000
25060,28047,219725.0000,0.0989,Gulfport-Biloxi-Pascagoulia,MS,7.7000,0.3000,0.5000
24660,37151,168600.0000,-0.0257,Greensboro-HighPoint,NC,9.2000,1.4000,2.3000
24580,55009,250000.0000,0.0002,GreenBay,WI,7.4000,1.7000,2.7000
24340,26139,324950.0000,0.0156,GrandRapids-Wyoming,MI,8.2000,7.8000,9.9000
23060,18003,224450.0000,0.0951,FortWayne,IN,9.5000,1.8000,2.5000
22540,55039,155450.0000,0.0367,FondduLac,WI,8.9000,3.3000,8.2000
22500,45041,174825.0000,0.0251,Florence,SC,8.8000,2.0000,3.6000
22180,37051,173625.0000,0.0951,Fayetteville,NC,8.3000,-0.3000,-0.6000
22140,35045,219950.0000,0.1000,Farmington,NM,9.6000,3.9000,3.9000
20500,37135,419950.0000,0.0244,Durham-ChapelHill,NC,8.9000,1.7000,3.1000
19460,1103,189974.5000,-0.0007,Decatur,AL,7.4000,-0.5000,-0.5000
18140,39159,249500.0000,0.1340,Columbus,OH,9.4000,3.2000,7.2000
17900,45079,239950.0000,0.2302,Columbia,SC,9.8000,2.2000,2.7000
15940,39151,165025.0000,0.1377,Canton-Massillon,OH,7.4000,5.7000,7.5000
13820,1127,147550.0000,-0.0481,Birmingham-Hoover,AL,8.6000,1.9000,2.9000
11540,55087,229850.0000,0.0789,Appleton,WI,8.4000,1.7000,3.2000
10740,35061,1690050.0000,-0.0987,Albuquerque,NM,8.4000,0.7000,1.0000
